Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Weekly_Sales
0.0,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483.0,219.71425809999997,7.348,0.0,16567.69
1.0,48.53,3.261,5183.29,8025.87,42.24,453.08,3719.38,219.89252630000001,7.348,0.0,16894.4
2.0,54.11,3.2680000000000002,4139.87,2807.19,33.88,500.62,3400.21,219.98568930000002,7.348,0.0,18365.1
3.0,54.26,3.29,1164.46,1082.74,44.0,11.0,1222.19,220.0788523,7.348,0.0,18378.16
4.0,56.55,3.36,34577.06,3579.21,160.53,32403.87,5630.4,220.1720153,7.348,0.0,23510.49
5.0,48.02,3.409,13925.06,6927.23,101.64,8471.88,6886.04,220.26517830000003,7.348,1.0,36988.49
6.0,45.32,3.51,9873.33,11062.27,9.8,8409.31,3402.66,220.42575860000002,7.348,0.0,54060.1
7.0,57.25,3.555,9349.61,7556.01,3.2,1219.92,8143.59,220.636902,7.348,0.0,20124.22
8.0,60.96,3.63,15441.4,1569.0,10.8,25390.88,8067.61,220.8480454,7.348,0.0,20113.03
9.0,58.76,3.6689999999999996,10331.04,151.88,6.0,671.43,5509.84,221.05918870000002,7.348,0.0,21140.07
10.0,64.74,3.734,4298.16,7.5,2.02,2724.65,2017.69,221.21181319999997,7.348,0.0,22366.88
11.0,65.93,3.787,6118.56,9.48,4.97,426.72,3657.22,221.2864126,7.348,0.0,22107.7
12.0,67.61,3.845,10309.58,0.5,10.25,1654.17,2642.78,221.3610119,7.348,0.0,28952.86
13.0,70.43,3.891,10121.97,0.0,77.98,3750.59,4510.72,221.43561119999998,7.143,0.0,57592.12
14.0,69.07,3.891,6186.19,3288.69,17.07,1822.55,1063.78,221.5102105,7.143,0.0,34684.21
15.0,66.76,3.877,2230.8,612.02,19.75,275.13,5747.1,221.56407369999997,7.143,0.0,16976.19
16.0,67.23,3.8139999999999996,3221.25,0.0,35.49,577.14,6222.25,221.61793680000002,7.143,0.0,16347.6
17.0,75.55,3.7489999999999997,21290.13,0.0,69.89,4977.35,3261.04,221.6718,7.143,0.0,17147.44
18.0,73.77,3.688,8351.4,0.0,10.52,2443.14,3127.88,221.72566319999999,7.143,0.0,18164.2
19.0,70.33,3.63,6154.14,0.0,45.11,1675.49,5508.18,221.74267400000002,7.143,0.0,18517.79
20.0,77.22,3.5610000000000004,4039.39,0.0,745.19,1429.96,3631.13,221.744944,7.143,0.0,16963.55
21.0,77.95,3.5010000000000003,6086.21,12.0,370.51,148.75,3690.85,221.7472139,7.143,0.0,16065.49
22.0,78.3,3.452,8813.81,116.8,64.55,2652.04,7161.91,221.7494839,7.143,0.0,17666.0
23.0,79.35,3.3930000000000002,5621.99,109.6,0.25,2420.28,3083.26,221.76264210000002,7.143,0.0,17558.82
24.0,78.39,3.346,8624.56,171.25,3.05,2524.07,7063.68,221.80302110000002,7.143,0.0,16633.41
25.0,84.88,3.286,3965.73,161.6,0.0,435.99,4212.97,221.8434,7.143,0.0,15722.82
26.0,81.57,3.227,12218.76,94.4,192.83,4066.01,6149.04,221.88377889999998,6.9079999999999995,0.0,17823.37
27.0,77.12,3.2560000000000002,7218.13,45.2,36.24,3909.38,2596.37,221.92415789999998,6.9079999999999995,0.0,16566.18
28.0,80.42,3.3110000000000004,3213.0,313.72,9.53,2262.02,3228.19,221.9327267,6.9079999999999995,0.0,16348.06
29.0,82.66,3.407,7146.9,389.02,1.59,10267.54,4325.19,221.9412954,6.9079999999999995,0.0,15731.18
30.0,86.11,3.417,27584.78,119.98,30.23,12007.04,4661.71,221.9498642,6.9079999999999995,0.0,16628.31
31.0,85.05,3.4939999999999998,11436.22,245.0,6.85,6964.26,4836.22,221.9584329,6.9079999999999995,0.0,16119.92
32.0,84.85,3.571,3662.06,137.86,4.84,2752.2,3446.15,222.03841090000003,6.9079999999999995,0.0,17330.7
33.0,77.66,3.62,6237.83,260.06,2.97,3463.03,7988.25,222.17194569999998,6.9079999999999995,0.0,16286.4
34.0,80.49,3.638,21442.73,102.32,21.7,13209.64,3032.96,222.30548050000002,6.9079999999999995,0.0,16680.24
35.0,83.96,3.73,5204.68,35.74,50.94,4120.32,2737.17,222.4390153,6.9079999999999995,1.0,18322.37
36.0,74.97,3.717,17212.52,7.0,18.79,1523.11,7992.72,222.58201929999998,6.9079999999999995,0.0,19616.22
37.0,69.87,3.721,6352.3,7.64,4.69,1010.06,6456.71,222.7818386,6.9079999999999995,0.0,19251.5
38.0,76.08,3.6660000000000004,3666.27,7.64,1.65,1417.96,4744.28,222.9816579,6.9079999999999995,0.0,18947.81
39.0,68.55,3.617,8077.89,0.0,18.22,3617.43,3626.14,223.1814772,6.5729999999999995,0.0,21904.47
40.0,62.99,3.6010000000000004,2086.18,0.0,8.11,602.36,5926.45,223.3812965,6.5729999999999995,0.0,22764.01
41.0,67.97,3.594,950.33,0.0,4.93,80.25,2312.85,223.4257233,6.5729999999999995,0.0,24185.27
42.0,69.16,3.5060000000000002,2585.85,31.75,6.0,1057.16,1305.01,223.44425130000002,6.5729999999999995,0.0,27390.81
